_id,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
56512,GO-20151674386,2015-09-28,2015-09-27,2015,September,28,271,Monday    ,8,2015.0,September,27.0,270.0,Sunday    ,22,D23,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,007,Willowridge-Martingrove-Richview (7),007,Willowridge-Martingrove-Richview (7),-79.5731970730847,43.68301239581023
241144,GO-20202050361,2020-10-29,2020-10-29,2020,October,29,303,Thursday  ,11,2020.0,October,29.0,303.0,Thursday  ,7,D14,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,2120,200,B&E,Break and Enter,085,South Parkdale (85),085,South Parkdale (85),-79.42735822421264,43.63895588349699
94746,GO-20162035394,2016-11-16,2016-11-15,2016,November,16,321,Wednesday ,9,2016.0,November,15.0,320.0,Tuesday   ,16,D32,"Hospital / Institutions / Medical Facilities (Clinic, Dentist, Morgue)",Other,1430,100,Assault,Assault,050,Newtonbrook East (50),050,Newtonbrook East (50),-79.40862793470717,43.78893580111767
254721,GO-2021620366,2021-04-05,2021-04-04,2021,April,5,95,Monday    ,6,2021.0,April,4.0,94.0,Sunday    ,19,D42,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,145,Malvern West (145),132,Malvern (132),-79.22418537607089,43.807908006921735
328879,GO-2023346891,2023-02-13,2023-02-09,2023,February,13,44,Monday    ,13,2023.0,February,9.0,40.0,Thursday  ,17,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2120,220,B&E W'Intent,Break and Enter,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),-79.38157314647108,43.65790009700388
287175,GO-2022377174,2022-02-27,2022-02-27,2022,February,27,58,Sunday    ,11,2022.0,February,27.0,58.0,Sunday    ,11,D55,Ttc Bus Stop / Shelter / Loop,Outside,1430,100,Assault,Assault,062,East End-Danforth (62),062,East End-Danforth (62),-79.30098755237307,43.689436122397865
98924,GO-2017602,2017-01-01,2017-01-01,2017,January,1,1,Sunday    ,1,2017.0,January,1.0,1.0,Sunday    ,1,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,Assault,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.38208824652705,43.65909819820201
232526,GO-20201458642,2020-08-05,2020-07-20,2020,August,5,218,Wednesday ,9,2020.0,July,20.0,202.0,Monday    ,0,D33,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2135,210,Theft Of Motor Vehicle,Auto Theft,053,Henry Farm (53),053,Henry Farm (53),-79.33472456198334,43.76788491722125
22669,GO-20142922770,2014-09-16,2014-09-16,2014,September,16,259,Tuesday   ,17,2014.0,September,16.0,259.0,Tuesday   ,17,D42,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,1420,100,Assault With Weapon,Assault,118,Tam O'Shanter-Sullivan (118),118,Tam O'Shanter-Sullivan (118),-79.299347987595,43.78359734276375
47245,GO-20151056596,2015-06-23,2012-07-27,2015,June,23,174,Tuesday   ,12,2012.0,July,27.0,209.0,Friday    ,12,D31,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,Assault,021,Humber Summit (21),021,Humber Summit (21),-79.56970422859403,43.75876291344287
373340,GO-202420930,2024-01-03,2024-01-03,2024,January,3,3,Wednesday ,18,2024.0,January,3.0,3.0,Wednesday ,9,D41,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,156,Bendale-Glen Andrew (156),127,Bendale (127),-79.27001870911283,43.77358504901933
398237,GO-20241512020,2024-07-11,2024-06-29,2024,July,11,193,Thursday  ,10,2024.0,June,29.0,181.0,Saturday  ,14,D32,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,035,Westminster-Branson (35),035,Westminster-Branson (35),-79.44594381887028,43.7859561954736
46529,GO-20151007988,2015-06-16,2015-06-15,2015,June,16,167,Tuesday   ,1,2015.0,June,15.0,166.0,Monday    ,22,D23,"Apartment (Rooming House, Condo)",Apartment,2135,210,Theft Of Motor Vehicle,Auto Theft,005,Elms-Old Rexdale (5),005,Elms-Old Rexdale (5),-79.55297503752139,43.71861655600123
162874,GO-20181896665,2018-10-14,2018-10-14,2018,October,14,287,Sunday    ,5,2018.0,October,14.0,287.0,Sunday    ,5,D53,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,100,Yonge-Eglinton (100),100,Yonge-Eglinton (100),-79.39944285101079,43.698140524354834
19728,GO-20142711922,2014-08-16,2014-08-15,2014,August,16,228,Saturday  ,1,2014.0,August,15.0,227.0,Friday    ,19,D31,"Private Property Structure (Pool, Shed, Detached Garage)",Other,2120,200,B&E,Break and Enter,027,York University Heights (27),027,York University Heights (27),-79.50346990925048,43.76657027794624
395620,GO-20241351035,2024-06-21,2024-04-08,2024,June,21,173,Friday    ,11,2024.0,April,8.0,99.0,Monday    ,12,D31,"Dealership (Car, Motorcycle, Marine, Trailer, Etc.)",Commercial,2135,210,Theft Of Motor Vehicle,Auto Theft,027,York University Heights (27),027,York University Heights (27),-79.48478221761863,43.76098955714955
246590,GO-20202455833,2020-12-31,2020-12-31,2020,December,31,366,Thursday  ,21,2020.0,December,31.0,366.0,Thursday  ,16,D31,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,Assault,024,Black Creek (24),024,Black Creek (24),-79.52097411319987,43.76510278579174
201696,GO-20191911127,2019-10-04,2019-10-04,2019,October,4,277,Friday    ,9,2019.0,October,4.0,277.0,Friday    ,4,D23,"Private Property Structure (Pool, Shed, Detached Garage)",Other,2132,200,Theft From Motor Vehicle Over,Theft Over,003,Thistletown-Beaumond Heights (3),003,Thistletown-Beaumond Heights (3),-79.57932767195885,43.74306777397669
374342,GO-202482788,2024-01-11,2024-01-11,2024,January,11,11,Thursday  ,22,2024.0,January,11.0,11.0,Thursday  ,14,D43,Schools During Supervised Activity,Educational,1430,100,Assault,Assault,138,Eglinton East (138),138,Eglinton East (138),-79.23725226180055,43.74124627974792
309978,GO-20221771519,2022-09-12,2022-08-01,2022,September,12,255,Monday    ,0,2022.0,August,1.0,213.0,Monday    ,0,D51,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,166,St Lawrence-East Bayfront-The Islands ,077,Waterfront Communities-The Island (77),-79.35694936067532,43.64927778838136
179889,GO-2019555439,2019-03-27,2019-03-27,2019,March,27,86,Wednesday ,21,2019.0,March,27.0,86.0,Wednesday ,7,D42,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2120,220,B&E W'Intent,Break and Enter,148,East L'Amoreaux (148),117,L'Amoreaux (117),-79.30037560503725,43.8019453278381
98937,GO-2017312,2017-01-01,2017-01-01,2017,January,1,1,Sunday    ,0,2017.0,January,1.0,1.0,Sunday    ,0,D52,Bar / Restaurant,Commercial,1420,100,Assault With Weapon,Assault,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.3905119378378,43.64500678411042
323214,GO-20222535377,2022-12-28,2022-12-28,2022,December,28,362,Wednesday ,8,2022.0,December,28.0,362.0,Wednesday ,1,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,099,Mount Pleasant East (99),099,Mount Pleasant East (99),-79.39359064565512,43.71694679174681
84981,GO-20161365656,2016-08-03,2016-08-03,2016,August,3,216,Wednesday ,21,2016.0,August,3.0,216.0,Wednesday ,15,D31,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1420,110,Assault Bodily Harm,Assault,NSA,NSA,NSA,NSA,-79.57472583931846,43.76429541900054
326879,GO-2023219362,2023-01-28,2023-01-28,2023,January,28,28,Saturday  ,20,2023.0,January,28.0,28.0,Saturday  ,19,D51,"Open Areas (Lakes, Parks, Rivers)",Outside,1610,200,Robbery - Mugging,Robbery,073,Moss Park (73),073,Moss Park (73),-79.37354045284195,43.66094740005114
216090,GO-2020305781,2020-02-13,2020-02-12,2020,February,13,44,Thursday  ,8,2020.0,February,12.0,43.0,Wednesday ,16,D51,Ttc Bus,Transit,1430,100,Assault,Assault,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),-79.36717885754466,43.66233240143615
168533,GO-20182220988,2018-12-03,2018-11-27,2018,December,3,337,Monday    ,10,2018.0,November,27.0,331.0,Tuesday   ,9,D55,Schools During Supervised Activity,Educational,1430,100,Assault,Assault,043,Victoria Village (43),043,Victoria Village (43),-79.3048289573718,43.71686276883245
178253,GO-2019443383,2019-03-11,2019-03-11,2019,March,11,70,Monday    ,3,2019.0,March,11.0,70.0,Monday    ,3,D55,"Apartment (Rooming House, Condo)",Apartment,1460,100,Assault Peace Officer,Assault,065,Greenwood-Coxwell (65),065,Greenwood-Coxwell (65),-79.31927142548184,43.67288829485232
90917,GO-20161776048,2016-10-06,2016-10-05,2016,October,6,280,Thursday  ,6,2016.0,October,5.0,279.0,Wednesday ,23,D22,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,011,Eringate-Centennial-West Deane (11),011,Eringate-Centennial-West Deane (11),-79.57619480905507,43.66036425309031
246297,GO-20202429721,2020-12-27,2020-12-27,2020,December,27,362,Sunday    ,9,2020.0,December,27.0,362.0,Sunday    ,9,D12,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,113,Weston (113),113,Weston (113),-79.51130865566778,43.69837906555895
248112,GO-2021108405,2021-01-18,2021-01-15,2021,January,18,18,Monday    ,7,2021.0,January,15.0,15.0,Friday    ,17,D32,"Private Property Structure (Pool, Shed, Detached Garage)",Other,2135,210,Theft Of Motor Vehicle,Auto Theft,035,Westminster-Branson (35),035,Westminster-Branson (35),-79.4446111156557,43.78020979517232
247320,GO-202147016,2021-01-08,2020-11-17,2021,January,8,8,Friday    ,12,2020.0,November,17.0,322.0,Tuesday   ,17,D31,"Apartment (Rooming House, Condo)",Apartment,2130,200,Theft From Mail / Bag / Key,Theft Over,022,Humbermede (22),022,Humbermede (22),-79.5415780954731,43.74825258135461
255292,GO-2021674270,2021-04-12,2021-04-12,2021,April,12,102,Monday    ,23,2021.0,April,12.0,102.0,Monday    ,23,D14,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,162,West Queen West (162),082,Niagara (82),-79.41147232950789,43.640772482467646
163364,GO-20181921523,2018-10-18,2018-10-18,2018,October,18,291,Thursday  ,1,2018.0,October,18.0,291.0,Thursday  ,1,D51,"Apartment (Rooming House, Condo)",Apartment,1420,110,Assault Bodily Harm,Assault,073,Moss Park (73),073,Moss Park (73),-79.37100285365003,43.65829659740034
80392,GO-20161054163,2016-06-17,2016-06-17,2016,June,17,169,Friday    ,7,2016.0,June,17.0,169.0,Friday    ,4,D51,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2120,220,B&E W'Intent,Break and Enter,073,Moss Park (73),073,Moss Park (73),-79.36855015547546,43.65886749797124
152901,GO-20181241216,2018-07-08,2018-07-08,2018,July,8,189,Sunday    ,6,2018.0,July,8.0,189.0,Sunday    ,2,D43,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,142,Woburn North (142),137,Woburn (137),-79.23296484605089,43.77953670123865
56617,GO-20151683993,2015-09-29,2015-09-29,2015,September,29,272,Tuesday   ,17,2015.0,September,29.0,272.0,Tuesday   ,15,D53,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,056,Leaside-Bennington (56),056,Leaside-Bennington (56),-79.36541890018489,43.708635666056246
69311,GO-2016281317,2016-02-16,2016-02-15,2016,February,16,47,Tuesday   ,19,2016.0,February,15.0,46.0,Monday    ,13,D33,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,Assault,040,St.Andrew-Windfields (40),040,St.Andrew-Windfields (40),-79.38411721740393,43.76282368910599
95241,GO-20162069113,2016-11-21,2016-11-21,2016,November,21,326,Monday    ,16,2016.0,November,21.0,326.0,Monday    ,16,D54,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,043,Victoria Village (43),043,Victoria Village (43),-79.30103836365494,43.72080316347871
